labels	text	cls
B_PER I_PER I_PER I_PER I_PER I_PER	John Denison-Pender , 1st Baron Pender	False
O B_LOC I_LOC O O O O O O	'' Glyphipterix iometalla '' ( Meyrick , 1880 )	False
O B_LOC I_LOC O O O O O O	'' Zygaena cynarae '' ( Esper , 1789 )	False
O B_ORG I_ORG I_ORG I_ORG O O	'' Super World of Sports '' '	False
B_PER I_PER I_PER	Chananel ben Chushiel	False
B_PER I_PER O O O	Bobby Rush ( D )	False
B_ORG I_ORG I_ORG I_ORG O	Legend of Chun Hyang ''	False
B_ORG O B_ORG I_ORG I_ORG O O	BBC ( Test Match Special '' )	False
B_PER I_PER O O O	Bruce Beresford ( Non-Jew )	False
O O O O O O B_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG O O B_ORG O O	It was also released along with Visual Studio 2005 , Microsoft SQL Server 2005 , and BizTalk 2006 .	False
B_PER I_PER I_PER	Leonardo Rodríguez Solís	False
O O O O B_LOC O B_LOC O B_LOC O O O O O	She was born in Aldsworth , Gloucestershire , England on 10 January 1836 .	False
O B_ORG I_ORG I_ORG O O O O O	** Kyoto National Museum ( early production cast )	False
B_ORG I_ORG I_ORG I_ORG I_ORG	List of years in Brazil	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	The International League of Dermatological Societies	False
O O O O O O O B_ORG I_ORG O O O O O O O B_ORG O	In June 1999 it was sold to National Express who in September 2004 sold it to Connex .	False
O O O O O O O O O O B_LOC O B_LOC O B_LOC O B_LOC O	Later reductions were extended into the areas that correspond to Argentina , Brazil , Bolivia and Uruguay .	False
O O O O B_LOC O B_LOC O B_LOC I_LOC O B_LOC O B_LOC O B_LOC O B_LOC O	It is found in Mexico , Guatemala , Costa Rica , Panama , Colombia , Venezuela and Brazil .	False
O O B_PER I_PER O O O O O O O O O O O O O O O O O O O O O	' '' Michele Morosini '' ' ( 1308–1382 ) was ''doge '' from June 1382 until his death in October of the same year .	False
O B_PER I_PER I_PER I_PER	20px Władysław I the Elbow-high	False
B_ORG I_ORG O B_LOC O O O O O O O O	Misawa AB , Japan , 29 November 1965 – 15 May 1971	False
B_LOC I_LOC I_LOC	Flatnose xenocongrid eel	False
O O O O O O O O B_LOC I_LOC O O O O O	He resigned in March 1906 to run for West Hobart , but was unsuccessful .	False
B_LOC I_LOC I_LOC	Lăpugiu de Jos	False
B_LOC I_LOC I_LOC	Chinantec of Ozumacín	False
O O O B_PER I_PER	*October 4 – Drew Stubbs	False
B_ORG I_ORG I_ORG I_ORG O O O O O O O O O	16th Troop Carrier Squadron en:: attached 14 November 1954 – 8 July 1955	False
O O O O O O O O B_LOC I_LOC I_LOC I_LOC	File en:: Bdg fontannaPotop 2 10-2013.jpg|View from the foutain `` Deluge ''	False
O O O O B_PER O O O	It was described by Warren in 1892 .	False
B_PER I_PER I_PER	Varghese Payyappilly Palakkappilly	False
O O O O O O O O O O O O O O O O O O O B_PER O B_ORG O O O O O O O O O O O O O	It sold 184,000 in traditional album sales ( down 65 percent ) and was beaten to the top by Adele 's 25 '' , which debuted at number one with a record-breaking 3.38 million .	False
O O O O O B_LOC I_LOC I_LOC O	He was born in in Sundridge , Ontario .	False
B_ORG I_ORG I_ORG O B_ORG	Super League Greece en:: 1982–83	False
B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O	Christmas Island , on 8 November 1957 , 28 April , 22 August , 2 September , 11 September , or 23 September 1958	False
B_PER I_PER O B_ORG O	Guy Berryman ( Coldplay )	False
B_PER I_PER O B_PER I_PER O B_PER I_PER	Jason Schwartzman , Isabelle Huppert , Dustin Hoffman	False
O O B_PER I_PER O O	' '' Lena Springs '' '	False
O O O O B_ORG I_ORG I_ORG O	He is a former England under-21 international .	False
B_PER I_PER I_PER O O O O O	Clement of Alexandria , ''Stromata '' 1.131.6 .	False
B_ORG I_ORG I_ORG I_ORG I_ORG	Human Rights Commission of Malaysia	False
O O O O O O O O O B_ORG I_ORG I_ORG O	The elevation is 3944 feet ( 1202 m ) above sea level .	False
B_PER I_PER I_PER	Jean Frédéric Frenet	False
O O B_LOC I_LOC I_LOC O O O B_PER I_PER O O O	** '' Duchy of Naples '' ' – Gregory III ( 864–870 )	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC	Poland in the Eurovision Song Contest	False
O B_ORG I_ORG I_ORG I_ORG I_ORG O	'' Space Heater ( album ) ''	False
B_ORG I_ORG I_ORG O B_LOC I_LOC I_LOC	Thompson International Speedway – Thompson , Connecticut	False
O O B_ORG I_ORG O B_LOC O	Recorded at Alberts Studio , London .	False
B_LOC I_LOC I_LOC	West Herzegovina Canton	False
B_LOC I_LOC I_LOC I_LOC	Ili Kazakh Autonomous Prefecture	False
O O B_ORG I_ORG I_ORG O	**London en:: Thames & Hudson .	False
B_ORG I_ORG I_ORG I_ORG O B_LOC	Takht Sri Hazur Sahib , Nanded	False
O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG O B_LOC	lifebelt]]s that survived the sinking is on display at the Imperial War Museum North in Manchester	False
O O O B_PER I_PER I_PER I_PER O	His father was Abd Manaf ibn Qusai .	False
B_ORG I_ORG I_ORG I_ORG O B_LOC O B_LOC	Borg El Arab Stadium , Alexandria , Egypt	False
O B_ORG I_ORG I_ORG O	`` A Different Corner ''	False
O O O B_ORG I_ORG O O O O B_ORG I_ORG	1283 en:: The Yuan Dynasty claim possession of the Penghu Islands	False
B_PER I_PER O B_PER I_PER O B_PER I_PER	Alain Delon , Richard Conte , Carla Gravina	False
O O B_PER I_PER O B_ORG I_ORG I_ORG I_ORG I_ORG O O O	**Monarch - George V , King of the United Kingdom ( 1910–1936 )	False
B_PER I_PER I_PER I_PER I_PER	Helene Hayman , Baroness Hayman	False
O O O O B_ORG I_ORG O B_ORG I_ORG O O O O O O B_LOC O O O O O B_LOC O	He was born in Drummond Township , Canada West in 1841 , the son of Irish immigrants , and educated in Perth .	False
O O B_PER I_PER O O	' '' Zadie Smith '' '	False
B_LOC I_LOC I_LOC	Glencoe , KwaZulu-Natal	False
O B_LOC I_LOC O O O O	'' Polystichum acrostichoides '' ( Michx .	False
O O O O B_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O	It is on the Campaign for Real Ale 's National Inventory of Historic Pub Interiors .	False
O B_ORG I_ORG I_ORG I_ORG O	`` You 're the Voice ''	False
O O O O O O O O O O O O O O O O O O O B_LOC O O O B_LOC I_LOC O	A few months later two planes , one of them named ''Atlântico '' , were sent by ship to Montevideo and flown to Buenos Aires .	False
O O O O O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG O B_LOC I_LOC O O O O O O O	In 1910 , the material was sent to the American Museum of Natural History in New York and it was described in 1911 .	False
B_ORG I_ORG I_ORG I_ORG I_ORG	New York State Route 5	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	Des pères , des hommes et des frères	False
B_ORG I_ORG I_ORG I_ORG I_ORG	Two and a Half Men	False
O O O O O O O B_LOC O	Before 1945 the area was part of Germany .	False
B_ORG I_ORG O O O O O	5000-meter run – en:14:15.61 ( 2015 )	False
B_PER O B_PER I_PER O B_PER I_PER	Sridevi , Sanjay Dutt , Rahul Roy	False
B_PER I_PER O O O	Miranda Martino as the Singer	False
B_ORG I_ORG I_ORG I_ORG O O O	Communist Party of Nigeria ( CPN )	False
O O B_ORG I_ORG O O B_LOC I_LOC	** '' Chaetodon falcula '' , Blackwedged butterflyfish	False
O O O O O O O O O O O O O B_ORG O B_ORG O B_ORG I_ORG I_ORG O O O O B_LOC I_LOC O	The first settlers arrived in the early 19th century , and were largely Quakers , Mennonites and United Empire Loyalists who had left the United States .	False
B_LOC I_LOC I_LOC O O O	Republic of Ezo ( 1868–1869 )	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Hul , Nové Zámky District	False
B_ORG I_ORG I_ORG I_ORG B_LOC O B_LOC	Estadio Tiburcio Carías Andino Tegucigalpa , Honduras	False
B_LOC I_LOC I_LOC I_LOC	Bokówka , Podlaskie Voivodeship	False
B_PER I_PER I_PER I_PER I_PER I_PER	Robert A. Borski , Jr .	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC I_LOC	Perry Township , Fayette County , Ohio	False
O B_LOC I_LOC I_LOC O O O B_PER I_PER O O O	'' Tsardom of Russia '' ' – Feodor III ( 1676–1682 )	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O O	St George 's , University of London ( SGUL )	False
B_ORG I_ORG I_ORG I_ORG	Wales national football team	False
O O B_ORG I_ORG O O	*wisent ( Bison bonasus '' )	False
B_LOC I_LOC I_LOC I_LOC	Warrandyte South , Victoria	False
O B_LOC I_LOC O O O O O O	'' Prochoreutis stellaris '' ( Zeller , 1847 )	False
B_ORG I_ORG O B_ORG O	UEFA Cup winner 1981 .	False
O O O O O O O O O B_PER I_PER I_PER O	In 1926 he was promoted to the rank of Marshal of Italy .	False
O O B_PER I_PER I_PER I_PER O O B_ORG B_LOC I_LOC I_LOC O	Her grandson Stanley Eric Francis Booth-Clibborn became the Anglican Bishop of Manchester .	False
O O O O O O B_ORG I_ORG O O B_LOC I_LOC I_LOC O	It will serve the suburb of Murrumba Downs in the Moreton Bay Region .	False
B_PER I_PER I_PER	Lawrence of Rome	False
B_ORG I_ORG I_ORG I_ORG O	The Larry Sanders Show ''	False
O O O O O O O O O O O O O O O O O B_ORG O	Coming on twice as a substitute , he was selected to start in the semi-final loss to Brazil .	False
O O O O O B_PER I_PER	'' September 7 '' – Little Shop	False
O O O B_LOC I_LOC I_LOC O O O B_LOC I_LOC I_LOC O	It is in Division No. 6 , in the Bay of Exploits .	False
B_PER I_PER I_PER O O O O O	Alexander of Hales , ( died 1245 )	False
B_PER I_PER I_PER I_PER I_PER	Louis Eppolito and Stephen Caracappa	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC I_LOC	Yale Township , Valley County , Nebraska	False
O O O B_LOC	''Slavonija '' en:: Slavonia	False
B_PER I_PER I_PER O O O O O O	John Steven Sutherland ( born 11 March 1983 )	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	K. S. Rangasamy College of Technology	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	St. Mary 's College , Kegalle	False
O O B_PER I_PER O	*Liam references Lucky Charms .	False
B_ORG I_ORG I_ORG O B_LOC O B_LOC	Classic Gold Marcher , Wrexham and Chester	False
B_ORG I_ORG O O O O O O O	DRS 1 - 101.5 MHz ( 60 kW )	False
B_PER I_PER O B_ORG I_ORG I_ORG	Marvin Dunnette , University of Minnesota	False
B_ORG I_ORG I_ORG I_ORG	Get off the Stage	False
O B_ORG O O B_PER	'' Şımarık '' – Tarkan	False
B_ORG I_ORG O O O O O O O O O O O O O O O O O O O	GMA Network was also reportedly planning to bid but backed out ; it however denied that they offered a bid .	False
O O B_PER I_PER O O O O O	' '' Slobodan Živojinović '' ' 7–6 6–3 6–4	False
O O O O B_LOC I_LOC I_LOC O O O B_LOC O B_LOC O	He was born in Clipston , Northamptonshire and died at Isleworth , Middlesex .	False
B_ORG I_ORG I_ORG O O O	K. Stade Leuven ( 1903—2002 )	False
B_PER I_PER I_PER I_PER I_PER I_PER	Patrick Ryan ( Irish priest )	False
O O O B_ORG O B_LOC O B_LOC	Image en:: V02p108001 Esnoga , Amsterdam , Netherlands	False
O B_LOC I_LOC O O O O O O	'' Graphium endochus '' ( Boisduval , 1836 )	False
B_ORG I_ORG I_ORG I_ORG I_ORG	Circuit rider ( Technology )	False
B_PER I_PER I_PER	Tachibana no Naramaro	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Rajiv Gandhi International Cricket Stadium	False
O B_LOC O B_LOC	- Alanya in Turkey	False
O O O O O B_ORG I_ORG O B_LOC O	He was the manager of Árabe Unido in Panama .	False
B_LOC I_LOC I_LOC O O O	Central , Tennessee ( CDP )	False
O B_ORG I_ORG I_ORG I_ORG	*20px Indiana State Road 18	False
O O O O B_LOC O B_LOC O B_LOC I_LOC O O	It is known from Iran and Turkmenistan ( Kopet Dag ) .	False
O B_PER O O O	1–0 Ewerthon ( 28 )	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC	2014 Women 's Futsal World Tournament	False
B_LOC I_LOC I_LOC	Guatemalan pygmy owl	False
B_LOC I_LOC I_LOC	LAC+USC Medical Center	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC I_LOC	Marion Township , Hardin County , Ohio	False
O O B_PER I_PER O O	' '' Maurie Keane '' '	False
B_LOC I_LOC I_LOC	Northern rough-winged swallow	False
O O O O O O O B_LOC I_LOC I_LOC O O O O O O O	''Hypnotize '' opened at 1 on the ''Billboard '' 200 with 320,000 copies the first week .	False
B_PER I_PER O O O	Caroline Hedwall ( T12 )	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	Winnie the Pooh ( franchise )	False
B_PER I_PER I_PER	Aubrey J. O'Brien	False
O O O O O O O O B_PER I_PER O B_PER I_PER I_PER O B_PER I_PER I_PER O B_PER I_PER I_PER O B_PER I_PER I_PER O B_PER I_PER O B_PER I_PER O B_PER I_PER O	Including the work of artists such as en:: Edward Burne-Jones , Ford Madox Brown , John Everett Millais , Dante Gabriel Rossetti , William Holman Hunt , Arthur Hughes , Frederick Sandys , Simeon Solomon .	False
B_LOC I_LOC I_LOC	Weverton , Maryland	False
B_PER I_PER I_PER	Cleinias of Tarentum	False
O O B_ORG I_ORG I_ORG I_ORG I_ORG O B_LOC O O O	Trained at Long Beach Army Air Field , California then inactivating .	False
O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC I_LOC I_LOC I_LOC O O B_ORG I_ORG O	The eastward pressure to expand was also created by the inability to move westward , inhibited by the formidable presence of the enormous Flushing Chinatown ( 法拉盛華埠 ) centered on Main Street .	False
B_PER I_PER O B_PER I_PER O B_PER I_PER O B_PER I_PER	Arnold Schwarzenegger , Linda Hamilton , Robert Patrick , Edward Furlong	False
B_ORG I_ORG I_ORG I_ORG	List of national libraries	False
B_PER I_PER I_PER I_PER I_PER I_PER I_PER I_PER	Frederick Banbury , 1st Baron Banbury of Southam	False
O B_ORG I_ORG I_ORG I_ORG O	`` Who Loves You ? ''	False
O O B_PER I_PER I_PER I_PER O O O O O O O O O O O O	''Oberst '' Kurt Freiherr von Liebenstein , 21 December 1942 – 1 January 1943 ( acting leader )	False
O B_ORG I_ORG I_ORG I_ORG	** Southern Maryland Blue Crabs	False
B_PER I_PER O O O	Casey Janssen ( 6 )	False
B_ORG I_ORG I_ORG I_ORG I_ORG	List of famous Puerto Ricans	False
O O O O O O O O B_PER I_PER O	`` Simply Meant to Be '' ( with Jennifer Warnes )	False
O B_LOC I_LOC O O O O O O	'' Rhodophthitus tricoloraria '' ( Mabille , 1890 )	False
B_PER I_PER I_PER I_PER	Leo II of Galicia	False
B_ORG I_ORG I_ORG I_ORG	William Morrow and Company	False
O O O O O O B_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG O	The site is located between the War Memorial Building and Baltimore City Hall .	False
B_LOC I_LOC I_LOC O O	Wusi Road Subdistrict ( )	False
B_PER I_PER O B_PER I_PER O B_PER I_PER	Jane Levy , Dylan Minnette , Stephen Lang	False
O O O O B_LOC I_LOC O	It is found in Costa Rica .	False
O O O O O B_ORG I_ORG I_ORG O O O O O O O O O O	In 1841 the population of Norbury and Roston was 510 , in 1895 there were 414 inhabitants .	False
O O B_PER I_PER O	''Written by William Barton ''	False
B_LOC O O O	Lantenay ( 01206 )	False
B_PER I_PER I_PER I_PER I_PER	John Reeves ( judge )	False
B_LOC I_LOC O O O	La Clotte ( 17113 )	False
B_PER I_PER I_PER O O O	Edwin S. Johnson ( D )	False
B_PER I_PER O O O O O O O O O O O	Funahashi Seiichi ( December 25 , 1904 – January 13 , 1976 )	False
O O O O B_LOC O	It is known from Chile .	False
O O B_ORG I_ORG O	AFL]] ( Australian rules )	False
O O O O O O O O B_PER I_PER O B_PER I_PER O	Among many artists who recorded this song were Al Jolson and Billy Murray .	False
O O B_LOC I_LOC I_LOC O O O B_PER I_PER O O O	** '' Duchy of Aquitaine '' ' – William V ( 995–1030 )	False
O O B_LOC I_LOC I_LOC O O O O O	' '' West African lion '' ' ( ''P .	False
O O O O O B_PER I_PER O B_PER I_PER O O O	'' The Room '' ( Chris Waters , Tom Shapiro ) – en:3:40	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC O O O O O	Munsee-Delaware Nation Indian Reserve No. 1 , part of the above	False
O O O O B_LOC I_LOC O O O B_LOC O O O O B_LOC O	It lies north-west of Kowalewo Pomorskie , north-west of Golub-Dobrzyń , and north-east of Toruń .	False
B_ORG I_ORG O B_LOC O B_ORG	Bahawalpur Zoo , Bahawalpur , Punjab	False
B_PER I_PER O O O	Friedrich Gilly ( 1772–1800 )	False
O B_LOC I_LOC O O O	**** Longtail stingray ( ''D .	False
O O O O O O O O B_PER I_PER O O	`` The Woman Comes and Goes '' ( Daryl Hall ) en:3:49	False
B_ORG I_ORG I_ORG I_ORG	List of Orchidaceae genera	False
B_ORG I_ORG I_ORG	Clarkston railway station	False
B_ORG I_ORG I_ORG O B_LOC O	Rimyongsu Sports Club ( Sariwon )	False
B_PER I_PER O O O	Len Braund ( 1901–1907 )	False
B_PER I_PER I_PER I_PER I_PER I_PER	Martin Luther King , Jr .	False
B_PER I_PER O O O	Verner Thomé ( 1878–1953 )	False
O B_ORG I_ORG I_ORG	1944 Presentation Brothers College	False
B_PER I_PER O B_LOC	Jörgen Olsson , Sweden	False
O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O	''Also see en:: Hot 100 No. 1 Hits of 1979 ''	False
O O O O O O O O B_LOC I_LOC I_LOC O	He died on March 19 , 1979 in Oakland , California .	False
O O O O O O B_PER I_PER O B_PER I_PER O O O	'' Too Many Hands '' ( Randy Meisner , Don Felder ) – en:4:43	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	Masonic Temple Building ( Maywood , Illinois )	False
B_ORG I_ORG I_ORG I_ORG	Shake ( company )	False
O O O O O B_ORG I_ORG O O O O O O O O O O O O O O O O	He ultimately returned to the Boston Globe '' , where he had been working immediately before the ''Tribune '' had hired him .	False
O O O O O O O O B_ORG I_ORG O O O O O	The numerator and denominator normally consist of a Fibonacci number and its second successor .	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	National Register of Historic Places listings in Anchorage , Alaska	False
O O O O O O O B_ORG I_ORG O O O O O O	In 1976 he joined his brother at Leicester Lions where he spent two seasons .	False
O B_LOC I_LOC I_LOC O O O O O O	'' Psolos fuligo fuligo '' — '' 'Coon '' '	False
B_PER I_PER O O O	Sid Wilson ( 0 )	False
B_PER I_PER O B_PER I_PER	Jan Niklas , Désirée Nosbusch	False
O B_LOC I_LOC I_LOC O O	** Trail of Tears , 1830–1838	False
