labels	text	cls
O O O B_ORG I_ORG O B_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG O B_ORG I_ORG O B_ORG I_ORG O B_ORG I_ORG I_ORG O	Aufsteiger in die Liga 1 waren Ceahlăul Piatra Neamț , CS Concordia Chiajna , Petrolul Ploiești , CS Mioveni und CSU Voința Sibiu .	False
O O B_PER I_PER O B_PER I_PER O B_PER I_PER O O	Zusammenarbeit mit John Barbirolli , Adrian Boult und Yehudi Menuhin veröffentlichte .	False
B_LOC O O O O O O	Tagmersheim , 1069 Einwohner , 15,93 km²	False
O O O O O O B_ORG O O O O O O O	Es war vor allem auf den Schallplattenversand spezialisiert und betrieb später auch Plattenläden .	False
O O O O O O O O B_LOC O	Folgende Tabelle vergleicht zwei Gruppen von Männern aus Oakland .	False
B_PER I_PER I_PER I_PER I_PER	Joseph Ferdinand Maria von Salern	False
O O O O O O O O O O B_LOC O B_LOC O	Mit ihr und ihren zwei gemeinsamen Kindern lebt er in London und Suffolk .	False
O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG O O	In den dazwischen liegenden vier Jahren war er für den Club Universidad de Guadalajara tätig .	False
O O O O O O B_LOC I_LOC O	Ihren Hauptsitz hat die Kette in Greenwood Village .	False
O B_PER I_PER I_PER	WEITERLEITUNG Michael R. Clifford	False
O B_PER I_PER I_PER	WEITERLEITUNG William W. Crapo	False
O O O O B_LOC I_LOC I_LOC I_LOC I_LOC	1 - teilweise im Lake of the Woods County	False
O O O O O B_PER I_PER O	Das Mandat hielt sein Parteikollege Ernie Ross .	False
B_ORG I_ORG I_ORG I_ORG	Verdienstorden des Landes Rheinland-Pfalz	False
O O O B_LOC O O	Sie ist in Südafrika beheimatet .	False
O O O B_LOC O O	** ' '' Goguryeo '' '	False
O B_ORG I_ORG O O O O B_ORG I_ORG O O	Das Khanat Astrachan spaltet sich von der Goldenen Horde ab .	False
O B_ORG I_ORG O O	'' Süddeutsche Zeitung Nr .	False
B_ORG I_ORG I_ORG	Spiel ohne Grenzen	False
O B_LOC I_LOC I_LOC I_LOC O O O B_ORG B_ORG I_ORG O O O O O O O O	Zur Saison 2013 / 14 ging er zum Drittligisten Hallescher FC , bei dem er einen Zweijahresvertrag erhielt .	False
O O O O O B_PER I_PER O	Regie führte ihr damaliger Ehemann Hubert Moest .	False
O O O O B_LOC O	Sitz der Gemeindeverwaltung ist KwaDukuza .	False
B_PER I_PER I_PER	Jegor Wladimirowitsch Milowsorow	False
B_PER I_PER I_PER O B_PER I_PER I_PER	Chin Eei Hui / Wong Pei Tty	False
O O O O O O O O B_PER I_PER I_PER I_PER O B_PER I_PER I_PER O O O O O O O O O	Er war aber die klare Nummer 3 hinter Edwin van der Sar und Ed de Goey , und kam so nie zu einem Einsatz .	False
O O O O O O O O O O O B_PER O O	Er brach das Studium nach drei Semestern ab und schlug die Offizierslaufbahn ein .	False
O O B_LOC O O	' '' Estland '' '	False
O O B_PER I_PER O O O O	' '' Calvin Harris '' ' feat .	False
O O O O B_LOC O B_LOC O B_LOC O O O O	Eine neue Strecke nach Chipata / Mchinji in Malawi soll gebaut werden .	False
O O O O O O B_LOC O O O O O O O O O O O O B_LOC O O	Die neue Stadt liegt an der Úslava etwa zehn Kilometer stromabwärts vom bisherigen regionalen Verwaltungszentrum , das den Namen Alt-Pilsen erhält .	False
O O O O O O O B_LOC O	An der Stelle befindet sich das heutige Kalamata .	False
O O O O O B_ORG O	Mehrfach posierten sie für den Playboy-Titel .	False
O O B_ORG I_ORG I_ORG O O O O O O O O O O O O O O B_ORG O O B_ORG O O	Diese als Eglinton Crosstown Line bezeichnete Strecke soll in der ersten Etappe 19 km lang sein und bis nach Kennedy im Stadtteil Scarborough führen .	False
B_LOC I_LOC I_LOC I_LOC	Heilige Berge in China	False
O O O O O B_LOC I_LOC O	Die Gegend heißt bis heute Murray Hill .	False
O B_LOC I_LOC I_LOC O	=== North East England ===	False
O O B_ORG I_ORG O B_LOC O O O O O	Bei den Europaspielen 2015 in Baku gewann er die Goldmedaille .	False
O O O O O O O O B_ORG O O	In dieser Zeit wurde sie auch in der Bürgerrechtsbewegung aktiv .	False
O O O O O O O O O B_PER I_PER I_PER O	Sie verkaufte den Besitz noch im selben Jahre an Joseph-Niklas zu Windisch-Graetz .	False
O O O O O O O O B_PER I_PER O O O	Von architektonischem Interesse sind weiterhin einige Bauten von Alvar Aalto im Gemeindezentrum .	False
O O B_PER I_PER O O O	Minute für Heinrich Schmidtgal eingewechselt wurde .	False
B_LOC O B_LOC O O O O	Boxholm , Schweden seit dem 13 .	False
O O O O O O B_PER I_PER O O B_LOC O O O O	Er kam dort im Papiergewicht hinter Oleg Kutscherenko aus der Sowjetunion auf den 2 .	False
B_PER I_PER O O O O O O O	Paolo Roberto ist im Buch ein berühmter Schwergewichtsboxer .	False
O O O O O O O O O O O O O O O O O B_ORG I_ORG O O O	Dies hat ihn aber nicht daran gehindert , seine Rechte und Pflichten gegenüber kirchlichen Institutionen wie dem Kloster Pfäfers weiterhin auszuüben .	False
O O O B_ORG O O	Er gehört der CDU an .	False
O B_ORG I_ORG I_ORG I_ORG I_ORG	WEITERLEITUNG Arc de Triomphe de l’Étoile	False
O O O O B_ORG O O O O O B_ORG O O O O O B_ORG O	In der Konstrukteurswertung führte Ferrari mit 10 Punkten Vorsprung auf McLaren-Mercedes und mit 28 Punkten auf Williams-BMW .	False
O O O B_LOC O	Im Norden an Weinsheim ,	False
B_PER I_PER O B_PER I_PER	Peter Märthesheimer , Pea Fröhlich	False
O B_PER I_PER I_PER	WEITERLEITUNG Edsger W. Dijkstra	False
O O O O O B_PER I_PER O O	Beenhakkers Nachfolge trat sein Landsmann Wim Rijsbergen an .	False
O B_PER I_PER I_PER I_PER I_PER	WEITERLEITUNG Ted Lewis ( Boxer )	False
O O O B_ORG O O O O	Jahrhunderts bis zur Nguyễn-Dynastie Mitte des 20 .	False
O O O B_ORG I_ORG O O	*** ' '' Erzstift Trier '' '	False
O O B_LOC O O	' '' Andorra '' '	False
O O O O O O O B_LOC I_LOC O	Er liegt im Nordosten des Staates im Cook County .	False
O O O O O O B_ORG I_ORG I_ORG I_ORG O	In der Nähe befindet sich der Sibi Kuroto Forest Park .	False
O O O O O B_PER O O O O O O O O O	Jedes Spiel wird von einem Schiedsrichter geleitet , der die Einhaltung der Regeln überwacht .	False
O O O B_LOC O	Ihr Sitz ist Berlin .	False
O O B_PER I_PER O O O B_PER I_PER I_PER O O O	Er gewann Ernest Rutherford als Präsidenten und Archibald Vivian Hill als Vizepräsidenten .	False
B_PER I_PER I_PER	Wilhelmus Joannes Demarteau	False
B_ORG I_ORG I_ORG I_ORG I_ORG	Bündnis 90 / Die Grünen	False
O B_PER I_PER I_PER O O O O O O O O O B_PER O O	Seit Innozenz X . gingen die politischen Funktionen ab 1644 allmählich auf den Kardinalstaatssekretär über .	False
O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	WEITERLEITUNG Warschauer Gesellschaft der Freunde der Wissenschaften	False
O O O O B_LOC I_LOC O	Zwei Kirchengemeinden liegen im Landkreis Oldenburg .	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Hohenfels ( bei Stockach )	False
O O O O O O O O B_ORG I_ORG O O O O	Anschließend wurde er für neun Monate ins Gefängnis Maze Prison bis zum 12 .	False
O O O B_LOC O	Er lebt in Berlin .	False
O O O O O O O O O B_LOC O B_LOC O	Er liegt in den westlich der Innenstadt gelegenen Stadtteilen Bockenheim und Rödelheim .	False
O O O B_LOC O B_ORG I_ORG O O O O O O O O O O	Er wechselte nach Frankreich zum AS Béziers , wo er jedoch auch nur kurze Zeit blieb .	False
B_PER I_PER I_PER	Mohammad Bagher Ghalibaf	False
B_PER I_PER I_PER I_PER I_PER	Alan Hale , Jr .	False
B_PER I_PER O O O	Benjamin Franklin '' , Wachsporträt	False
B_PER I_PER I_PER	Gustavo César Veloso	False
O O B_LOC O O	' '' Lucciana '' '	False
O O B_ORG I_ORG O O	' '' Silkeborg IF '' '	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	Das ist nicht die ganze Wahrheit …	False
O O O O O O B_LOC O O O B_LOC O O O B_LOC O	Bis 1658 gehörten das unmittelbar angrenzende Bohuslän im Norden und Halland im Süden zu Dänemark-Norwegen .	False
B_LOC B_PER I_PER I_PER O O O O O	Papst Paul VI . ernannte ihn am 20 .	False
O O O O O O B_ORG I_ORG O O O	Viele andere Projekte , wie der BRM P351 blieben Stückwerk .	False
O O O O O O O O O B_LOC O B_LOC O	Ein paar Jahre später , 1985 , auch in Seoul , Korea .	False
O O O O O O O O O O B_PER I_PER O O O O O O	Erst erneute Grabungen , die 1995 unter der Leitung von Zahi Hawass begannen , konnten dies bestätigen .	False
B_PER I_PER O O O O O O O O O	Hermann Stehr – Seine dichterische Welt und ihre Probleme '' .	False
O B_PER I_PER I_PER	Weiterleitung W. Howard Greene	False
O O B_LOC O O	' '' Estremoz '' '	False
B_LOC I_LOC I_LOC I_LOC	Varize ( Moselle )	False
O O B_LOC O O	' '' Nicaragua '' '	False
O O O O O O O B_PER I_PER O B_PER I_PER O B_PER I_PER O O B_PER I_PER O	Es gab hier Live-Aufzeichnungen unter anderem mit Jim Capaldi , Eric Burdon , Meat Loaf , und James Belushi .	False
O O O O O O O O O O O B_PER I_PER O B_PER I_PER I_PER O B_PER I_PER O O	Unter ihnen werden im Laufe der Jahre so berühmte Namen wie Jessye Norman , Jacqueline du Pré und Jewgeni Kissin sein .	False
B_PER I_PER O O O O	Francisco Mancebo , 12 P .	False
O B_ORG I_ORG I_ORG	WEITERLEITUNG Erste Allgemeine Verunsicherung	False
O O O O O O O O O O O O B_LOC I_LOC I_LOC O O O O B_LOC O O	Das Stadtzentrum liegt auf einer Höhe von und ist 28 Kilometer von Spišská Nová Ves sowie 45 Kilometer von Košice entfernt .	False
B_PER I_PER O B_PER I_PER	Marco Fabián , Omar Bravo	False
O O B_PER I_PER O O O O	dem von La Vey , gemeinsam [hat]“ .	False
O O B_PER O O O O	' '' Will.i.am '' ' feat .	False
O O O O O O O B_PER I_PER I_PER I_PER O O O B_PER B_PER I_PER O O B_PER I_PER I_PER O O	Höhepunkte seiner Amtszeit waren die Besuche von Königin Margrethe II . 1986 und der Bundespräsidenten Walter Scheel 1979 und Richard von Weizsäcker 1989 .	False
B_LOC O B_LOC O B_LOC	Ankara , Antalya , Istanbul	False
O O B_LOC O O	' '' Carhaix-Plouguer '' '	False
O B_LOC O O O B_LOC O B_LOC O B_LOC O B_LOC O O O O O O O O	In Nordeuropa sowie in den Niederlanden , Großbritannien , Belgien und Portugal werden fremdsprachige Produktionen grundsätzlich mit Untertiteln ausgestrahlt .	False
O O O O O O O O O O O O O B_ORG O O O O O O O O O O O O O O O O O O O O	Eine Tournee im Frühjahr 2007 mit fünf anderen Bands , unter anderem mit Finntroll , die unter dem Titel „Earthshaker Roadshock Tour“ beworben wurde , scheiterte aufgrund von Problemen mit dem Veranstalter Metallysee .	False
O O O O O B_ORG O O O O O	Die Auflistung stammt von der Weltgesundheitsorganisation und wurde 2015 publiziert .	False
O B_PER I_PER O O	'' Florence Nightingale '' .	False
O O O O O O B_LOC O O O O	Er gehörte bereits zur politischen Führung Unterwaldens , im 15 .	False
O B_PER I_PER I_PER	250–248 Demetrios der Schöne	False
O O O O O O B_ORG I_ORG I_ORG O	Darüber hinaus lehrte er an der Katholischen Universität Eichstätt-Ingolstadt .	False
B_PER I_PER O B_PER I_PER O B_PER I_PER O O	Kenny Wheeler , Ray Anderson und Marty Ehrlich dabei .	False
O O O B_LOC O O	** ' '' Uzès '' '	False
O O O O O B_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG O	Neu aufgestiegen waren die Mannschaften NK Vitez und FK Mladost Velika Obarska .	False
O O B_LOC I_LOC O O	' '' Osmanisches Reich '' '	False
B_PER O O O O	Djoser , Tosorthos , Hor-netjeri-chet	False
O B_ORG O O O O O	Der Zirkel enthält die Buchstaben A.F.C.V .	False
O B_LOC I_LOC I_LOC I_LOC I_LOC	weiterleitung Nakhon Pathom ( Provinz )	False
B_PER I_PER I_PER I_PER I_PER I_PER	Konservative Partei Kanadas ( historisch )	False
O O B_LOC O O	' '' Tunesien '' '	False
O O O O O O O O O O O O O O O O O O O B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC O	Mit der Mannschaft erreichte er im dichtgestaffelten hinteren Teil der Tabelle mit 33 Punkten den zehnten Platz in der griechischen Super League 2008 / 09 .	False
O O O O O O O O O B_ORG O O O	Gleichzeitig wechselte man erneut den Ausrüster , diesmal bekam Nike den Zuschlag .	False
O O O O B_ORG O O O O O	Der VÖFS ist als Verein organisiert und politisch unabhängig .	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Liste der Distrikte von Ghana	False
O O O O O O O O O O O O O O O B_LOC I_LOC O	Zur Beschaffung von ausreichendem und geeignetem Baumaterial untersuchten Fachleute aktive und stillgelegte Steinbrüche in der Sächsischen Schweiz .	False
O B_ORG O O	der Massenkonzentration der Lösung	False
O O B_ORG I_ORG O O	' '' Jonas Brothers '' '	False
O O B_PER O O O B_ORG I_ORG O	' '' Rihanna '' ' – Rude Boy ''	False
O O O B_ORG I_ORG I_ORG I_ORG I_ORG O O	Er gehörte dem Independent Order of Odd Fellows an .	False
O B_LOC O O O O O	In Deutschland fehlt sie im Norden .	False
O O O O B_LOC I_LOC I_LOC I_LOC	K 101 – in Haina ( Kloster )	False
O O B_LOC I_LOC O O	' '' Kiewer Rus '' '	False
O O O B_ORG O O	*** ' '' Waldeck-Eisenberg '' '	False
B_ORG I_ORG O O B_ORG I_ORG O O	HSC Montpellier D1 - FC Sochaux D2 de:2:0	False
O O B_ORG O O O O O O O	' '' Arashi '' ' – ''Monster '' - 543.269	False
O B_PER I_PER I_PER	WEITERLEITUNG Jesús Martínez Díez	False
O O O O O O O B_LOC O O O O B_LOC O	Es liegt rund 13 km südlich von Cambrai am rechten Ufer der Schelde .	False
O O B_LOC O O	' '' Polen '' '	False
O O O O O B_PER I_PER I_PER O O O O O O O	Der Angriff wurde erfolgreich von Marschall de Vauban in seinem einzigen Feldkommando überhaupt zurückgeschlagen .	False
O O O O O O O B_ORG O O O O O O O O O	Da es zum damaligen Zeitpunkt noch keine Bundesliga gab , nahmen die Sieger der Landespokale teil .	False
O O B_ORG I_ORG I_ORG O O O O O O	Auch das Modern Jazz Quartet spielte Stücke von ihm ein .	False
O O B_ORG I_ORG O O	' '' Vizekönigreich Peru '' '	False
B_PER I_PER I_PER I_PER I_PER I_PER O O O O O	Robert L. Crawford , Jr . , Darsteller in ''Laramie ''	False
O O O O O O O B_ORG O O B_LOC O	In diese Zeit fiel das Ende der Reconstruction in den Südstaaten .	False
O O O O O B_PER I_PER O O O O O O O O O O O O O O O O O	Die ersten fünf Rennen fuhr Terry Labonte und platzierte den Wagen innerhalb der Top-35 , was einen Startplatz in den darauffolgenden Rennen garantierte .	False
O B_PER I_PER O O O O O O O O O O O O O O O O O O O O	Auch Adam Sandler wurde das Skript vorgelegt , dieser musste jedoch ablehnen , da sich die Dreharbeiten mit seinen anderen Projekten überschnitten .	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Liste der Bischöfe von Blois	False
O O O B_LOC O B_LOC	0,34 km² in Kopenhagen , Dänemark	False
O O B_ORG I_ORG O O	' '' Tallinna JK '' '	False
O B_ORG I_ORG I_ORG I_ORG I_ORG O O B_PER I_PER I_PER O O O O O	Die Glaspyramide im Innenhof des Louvre wurde von Ieoh Ming Pei entworfen und 1989 eröffnet .	False
B_PER I_PER O B_PER I_PER O B_PER I_PER O B_PER I_PER	Michael Phelps , Ryan Lochte , Ricky Berens , Peter Vanderkaay	False
O O O B_PER I_PER O B_PER I_PER O B_LOC O B_LOC O O	Sie wurden von Natalja Linitschuk und Gennadi Karponossow in Newark , Delaware trainiert .	False
O O O O O O O O O O O O B_PER I_PER O O B_ORG I_ORG O O	Sie docken an einem frei im Raum schwebenden Tanzlokal an , wo Cliff Richard jr. und The Shadows auftreten .	False
O O O O O O O O O O O O O O O O O O O O O O B_PER I_PER I_PER O O B_LOC O O	1352 wurde er als Mitkaiser eingesetzt , musste jedoch bereits im Jahr darauf mit seinem Vater vor dessen Schwiegervater , dem aufständischen Johannes VI . , nach Tenedos fliehen .	False
O O O O O O O B_LOC O O	Sie ist 20 km von der Provinzhauptstadt Nevşehir entfernt .	False
O O O O O O O O O O O O O O O O B_ORG I_ORG O O O	So wirkte sie 2005 / 2006 , mittlerweile 82 Jahre alt , in zwei Episoden von Navy CIS '' mit .	False
O O O O O B_LOC O B_LOC O O	Alle Spiele fanden in der südkoreanischen Hauptstadt Seoul statt .	False
B_PER I_PER I_PER O O O O O O O	Roger von Wendover , ''Flores Historiarum '' , hrsg .	False
O B_PER I_PER I_PER	WEITERLEITUNG Jon Gorenc Stanković	False
O B_PER I_PER I_PER O B_PER I_PER O O O O O O O	Besonders Valéry Giscard d’Estaing und Nicolas Sarkozy setzen sich für eine solche ein .	False
O O B_ORG O O	' '' Westgotenreich '' '	False
O O O O O O B_LOC O O O B_LOC I_LOC O	Sie liegt sechs Kilometer nordöstlich von Vizovice und gehört zum Okres Zlín .	False
B_PER I_PER O O O	Evangelos Venizelos bis 21 .	False
O O O O O B_LOC O O B_LOC I_LOC O	Seine Kindheit verbrachte er in Hindelang in den Allgäuer Alpen .	False
O O B_ORG I_ORG I_ORG O O	' '' Lechia Zielona Góra '' '	False
O O O O O O O O B_ORG I_ORG O O	Anschließend nahm er ein gut dotiertes Angebot von Benfica Lissabon an .	False
O O B_ORG I_ORG O O O O O O O O O O O B_ORG I_ORG O	In der sächsischen Landeskirche wird von der Kirchgemeinde gesprochen ; dies galt auch in der mecklenburgischen Landeskirche .	False
O B_PER I_PER I_PER	WEITERLEITUNG Samwel Wladimirowitsch Danieljan	False
O O O O O O O B_LOC I_LOC O O O O B_ORG I_ORG O O O	32 km westlich vom Zentrum der Provinzhauptstadt Pagadian City und ist über den Maharlika Highway '' erreichbar .	False
O O B_ORG O B_PER O	Ende der Dawenkou-Kultur in china .	False
O O O B_LOC O O	** ' '' Sachsen-Weimar-Eisenach '' '	False
O O O O O O O O B_ORG O B_LOC O O O O O O	Bis zur Einmündung in den gemeinsam mit dem Dnepr gebildeten Liman ist er 806 km lang .	False
O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	WEITERLEITUNG Mahindra United World College of India	False
O B_LOC I_LOC I_LOC I_LOC	WEITERLEITUNG St. Ulrich in Gröden	False
B_ORG I_ORG O O O O O	Hamburger Abendblatt , 12 / 13 .	False
O O B_LOC I_LOC I_LOC I_LOC	Soltau]] , Winsen ( Luhe )	False
O O O O O B_LOC O O O O O	Erst mit dem Vertrag von Besançon , unterzeichnet am 25 .	False
O O B_ORG O O O B_LOC O O O O	Während der Besatzungszeit wurde von den US-Truppen ein Spionagezentrum errichtet .	False
O O O O O O B_ORG O O	Sie fahren zu zweit mit der U-Bahn umher .	False
O O B_LOC O B_LOC O O O O O	Filialvereine in Jever und Varel werden mit Ausstellungen versorgt .	False
O O O O O O B_LOC O O O O O O	So war 1993 stellvertretender Landesvorsitzender in Nordrhein-Westfalen und gehörte dem Bundesvorstand an .	False
O O O O O B_LOC O	Die haben ihren Sitz in Otjinene .	False
B_ORG O O O	Kurier vom 29 .	False
O O B_ORG I_ORG O B_PER I_PER O B_PER I_PER O	2003 – Berliner Ensemble mit Stefan Kurt und Nina Hoss .	False
O O O O O O O O O O B_ORG I_ORG O O O O O O	Dort trafen die Münsteranerinnen im Achtelfinale auf den späteren Finalisten Eimsbütteler TV und unterlagen deutlich mit de:0:10 .	False
O O O O B_PER I_PER O O O O O	Durch die Arbeiten von Ernst Abbe wurden Ende des 19 .	False
B_PER I_PER O O O B_ORG I_ORG O O O	Roger Ebert lobte in der Chicago Sun-Times vom 16 .	False
O O B_ORG O O	' '' Äthiopien '' '	False
O O B_LOC O B_LOC O O O O O O O O O O	Die zwischen Ryck und Strelasund gelegenen Besitzungen der Familie wurden im Laufe des 14 .	False
O O O O O B_PER I_PER I_PER O O O	Militärisch war er unter anderem Johann von Werth nicht gewachsen .	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Gallatin County ( Kentucky )	False
O O O O O B_ORG O O O O O B_PER I_PER O	Sie dienten vorrangig Staatsjagden der nationalsozialistischen Führung , insbesondere des „Reichsjägermeisters“ Hermann Göring .	False
O O O O O O O O O B_PER I_PER O B_PER I_PER O B_PER I_PER O	Neben den oben genannten arbeitete er mit Jazz-Größen wie Count Basie , Erroll Garner und Illinois Jacquet .	False
O O O B_LOC O O	Sie wurde in Kerpen ausgetragen .	False
O O O O O O O B_LOC O B_ORG I_ORG O	Kurz darauf erschien sie auch in den USA bei Trustkill Records .	False
O O O B_ORG I_ORG	''Lifesaver '' von Sunrise Avenue	False
B_LOC O B_LOC O B_LOC O B_LOC O B_LOC	Afghanistan , Armenien , Aserbaidschan , Dagestan und Tschetschenien	False
O O O B_ORG O	** Herstellung der KNOX Räucherkerzen“	False
B_PER I_PER I_PER	Tôn Thất Thiện	False
O O B_PER I_PER O O	' '' Frank Devlin '' '	False
O B_PER I_PER I_PER I_PER	1931–1945 Karl Ritter von Halt	False
O O O O O O O O O B_ORG I_ORG O O O O O O O O O B_LOC O O B_LOC I_LOC O O O O B_ORG I_ORG O O O B_LOC O O B_LOC O O	Entlang des westlichen Stadtrandes verlaufen auf gemeinsamer Trasse der Interstate 20 , der auf einer Länge von 2470 Kilometern von Texas bis nach South Carolina führt , sowie der Interstate 59 , der von Louisiana bis nach Georgia führt .	False
B_PER I_PER I_PER I_PER	Helena Victoria von Schleswig-Holstein-Sonderburg-Augustenburg	False
O O B_ORG I_ORG I_ORG O O O B_ORG I_ORG I_ORG I_ORG O	' '' Salt ’n’ Pepa '' ' - Let’s Talk About Sex ''	False
O O B_LOC O O	' '' Hochtannbergpass '' '	False
O O O O O O O B_LOC I_LOC O	176 km südlich liegt die Küste zur Arabischen See .	False
O O O O O O O O O O O O B_LOC O O O O O O	Am Tag der Abstimmung sei ihm die Abstimmungskarte jedoch versehentlich in die Leine gefallen , wie er u.a .	False
O O B_LOC O O	' '' Vietnam '' '	False
O O O O O O O O B_ORG I_ORG I_ORG I_ORG O O	Seine erste wiederkehrende Rolle bekam er 2006 in Justice – Nicht schuldig '' .	False
O B_PER I_PER I_PER	1425–1448 Albrecht von Kolditz	False
O O O O B_ORG O	Die Familie gilt als kleptokratisch .	False
O O O O B_PER I_PER I_PER O O O O O O O O O O O O O O	In seiner Ellington-Biographie geht James Lincoln Collier ausführlich auf diese Komposition ein , die „in der gegebenen Form klassisch ist“ .	False
B_ORG O B_PER I_PER O B_ORG I_ORG	2013 - Bud Holloway , Skellefteå AIK	False
O O B_PER I_PER O O	' '' James Bay '' '	False
B_ORG O B_ORG I_ORG I_ORG I_ORG	Frederiksted , Paul E. Joseph Stadium	False
O O O O O O O B_ORG I_ORG O O B_ORG I_ORG O	Später war er längere Zeit Stammtorhüter beim FC Arsenal sowie bei Plymouth Argyle .	False
O O O O O O O B_ORG I_ORG O	Seine erste Herren-Fußballmannschaft spielte 2014 in der Bayernliga Nord .	False
O O O O O O O O O O O O O O B_PER I_PER O O O B_PER I_PER O	Über die Urheberschaft des Vorworts wird bis heute gestritten ; viele Forscher rechnen es Richard Mather zu , andere John Cotton .	False
O O O O B_ORG O O O O O O O O O O O O	1987 kam eine begleitende CD-ROM-Version hinzu , die erstmals eine Suche wie in einer Datenbank erlaubt .	False
B_ORG I_ORG I_ORG I_ORG I_ORG	Marcus Kimball , Baron Kimball	False
O O O B_LOC I_LOC O O	*** ' '' Erzstift Mainz '' '	False
B_LOC I_LOC I_LOC	Her Majesty’s Theatre	False
O O O O O B_PER I_PER O	Seinen Posten übernahm übergangsweise Sportdirektor Franz Gerber .	False
O O O O O O O O B_PER O B_PER O B_PER O B_PER O	In dieser Zeit erschienen von ihm Übersetzungen von Plautus , Platon , Herodot und Aristophanes .	False
O O B_PER I_PER O O	' '' Salakjit Ponsana '' '	False
O O O O B_ORG O O O	Die Nominierung wurde vom Senat am 28 .	False
O B_ORG O O O O O	Das Genossenschaftswesen spielt eine gewisse Rolle .	False
O O O B_LOC O O	*** ' '' Österreich '' '	False
O O O O O O O O O O O O O B_ORG O O O O O O O O O O	Das Land verfügte einst über rund 450 Schienenkilometer , wovon rund 380 km Schmalspurbahnen waren , die letzten wurden 2008 / 2009 abgebaut .	False
O O O O O B_ORG O O O O	Außerdem spielte sie in zwei Tatort '' -Folgen mit .	False
B_ORG O O O O O	Y34RZ3R0R3M1X3D '' Remix-Album von „Year Zero“	False
O O O O O B_ORG O O O	Es ist der bedeutendste bürgerliche Profanbau der Stadt .	False
O O B_ORG I_ORG O O	' '' Oxford United '' '	False
O O O O O O O O O O O B_LOC O O	Die Frühjahrvollversammlung findet an wechselnden Orten , die Herbstvollversammlung stets in Fulda statt .	False
O O O O O O B_PER I_PER O	Er war der Vater des Sängers Marius Müller-Westernhagen .	False
O O O B_LOC O B_LOC	2005 erstmals in Stuttgart und Weingarten	False
O O B_PER I_PER O B_PER I_PER O O	' '' William Goldenberg und Dylan Tichenor '' '	False
O O O O B_LOC O O O	1939 erwarb die Stadt Dumbarton das Anwesen .	False
B_ORG I_ORG I_ORG	Giro d’Italia 1923	False
